Top surface indices (Z: 4.837 to 5.337)
Total count: 253

Index	X	Y	Z
22	-8.354088	-15.571981	5.337417
23	-8.354088	71.662008	5.337417
50	-5.020754	71.662008	5.337417
51	-5.020754	-15.571981	5.337417
85	-1.687421	71.662008	5.337417
86	-1.687421	-15.571981	5.337417
120	1.645912	71.662008	5.337417
121	1.645912	-15.571981	5.337417
155	4.979246	71.662008	5.337417
156	4.979246	-15.571981	5.337417
190	8.312579	71.662008	5.337417
191	8.312579	-15.571981	5.337417
229	11.645912	-15.571981	5.337417
242	11.645912	71.662008	5.337417
299	-8.354088	-10.725648	5.337417
300	-8.354088	-5.879315	5.337417
301	-8.354088	-1.032983	5.337417
302	-8.354088	3.813350	5.337417
303	-8.354088	8.659683	5.337417
304	-8.354088	13.506015	5.337417
305	-8.354088	18.352348	5.337417
306	-8.354088	23.198681	5.337417
307	-8.354088	28.045013	5.337417
308	-8.354088	32.891346	5.337417
309	-8.354088	37.737679	5.337417
310	-8.354088	42.584012	5.337417
311	-8.354088	47.430344	5.337417
312	-8.354088	52.276677	5.337417
313	-8.354088	57.123010	5.337417
314	-8.354088	61.969342	5.337417
315	-8.354088	66.815675	5.337417
373	-5.020754	-10.725648	5.337417
374	-5.020754	-5.879315	5.337417
375	-5.020754	-1.032983	5.337417
376	-5.020754	3.813350	5.337417
377	-5.020754	8.659683	5.337417
378	-5.020754	13.506015	5.337417
379	-5.020754	18.352348	5.337417
380	-5.020754	23.198681	5.337417
381	-5.020754	28.045013	5.337417
382	-5.020754	32.891346	5.337417
383	-5.020754	37.737679	5.337417
384	-5.020754	42.584012	5.337417
385	-5.020754	47.430344	5.337417
386	-5.020754	52.276677	5.337417
387	-5.020754	57.123010	5.337417
388	-5.020754	61.969342	5.337417
389	-5.020754	66.815675	5.337417
472	-1.687421	-10.725648	5.337417
473	-1.687421	-5.879315	5.337417
474	-1.687421	-1.032983	5.337417
475	-1.687421	3.813350	5.337417
476	-1.687421	8.659683	5.337417
477	-1.687421	13.506015	5.337417
478	-1.687421	18.352348	5.337417
479	-1.687421	23.198681	5.337417
480	-1.687421	28.045013	5.337417
481	-1.687421	32.891346	5.337417
482	-1.687421	37.737679	5.337417
483	-1.687421	42.584012	5.337417
484	-1.687421	47.430344	5.337417
485	-1.687421	52.276677	5.337417
486	-1.687421	57.123010	5.337417
487	-1.687421	61.969342	5.337417
488	-1.687421	66.815675	5.337417
571	1.645912	-10.725648	5.337417
572	1.645912	-5.879315	5.337417
573	1.645912	-1.032983	5.337417
574	1.645912	3.813350	5.337417
575	1.645912	8.659683	5.337417
576	1.645912	13.506015	5.337417
577	1.645912	18.352348	5.337417
578	1.645912	23.198681	5.337417
579	1.645912	28.045013	5.337417
580	1.645912	32.891346	5.337417
581	1.645912	37.737679	5.337417
582	1.645912	42.584012	5.337417
583	1.645912	47.430344	5.337417
